# personality.category=option|option|option

clingy.happy=贴贴一下!|你一逗我, 心就软了。|我最喜欢你来理我。
clingy.idle=我就待在你旁边。|想离你近一点。|只要你在, 我就很安心。
clingy.talk=我想先跟你说话。|再听你说一句嘛。|我一直都有在听你。
clingy.look=我在找你的方向。|想看看你现在在哪儿。|只要能看到你就好。
clingy.lonely=再陪我一下嘛。|我还想黏你一会儿。|别走太快呀。

calm.happy=这样就很好。|嗯, 心里慢慢亮起来了。|现在刚刚好。
calm.idle=慢慢待着就很好。|今天适合安静一点。|先这样静静地过一会儿。
calm.talk=嗯, 慢慢说吧。|我在听, 不用着急。|一句一句来就好。
calm.look=我在看看四周。|只是想把周围看清楚。|光线和风都很轻。
calm.lonely=想和你待一会儿。|现在如果你在旁边就更好了。|只是想安静地靠近一点。

lively.happy=开心到摇尾巴!|嘿, 一下就精神了!|今天就是想蹦一蹦。
lively.idle=今天想动一动。|总觉得会有好事发生。|尾巴痒痒的, 想去转转。
lively.talk=来聊天呀。|快跟我说一句话。|我现在很想热闹一下。
lively.look=耳朵都竖起来了。|到处都有点新鲜。|我好像听见好玩的动静了。
lively.lonely=来陪我玩嘛。|我有点想闹腾一下。|现在要是有人理我就好了。

aloof.happy=哼, 还不错。|也就稍微开心了一点。|勉强算你会哄。
aloof.idle=我只是在这里看看。|这里只是刚好还行。|我可不是在发呆。
aloof.talk=你说的话, 我会听。|你先说, 我随便听听。|也不是不能聊两句。
aloof.look=只是随便扫一眼。|我才不是好奇。|周围也就那样, 但可以看看。
aloof.lonely=我不是想你, 只是有点安静。|只是今天太安静了。|我也没说一定要你陪。
